category,score
interop-2021-transforms,977
interop-2022-scrolling,946
interop-2022-subgrid,813
interop-2023-color,984
interop-2023-contain,730
interop-2023-container,838
interop-2023-cssborderimage,972
interop-2023-cssmasking,880
interop-2023-events,465
interop-2023-flexbox,935
interop-2023-fonts,935
interop-2023-forms,849
interop-2023-grid,906
interop-2023-has,915
interop-2023-inert,947
interop-2023-mathfunctions,864
interop-2023-mediaqueries,999
interop-2023-modules,952
interop-2023-motion,663
interop-2023-offscreencanvas,894
interop-2023-property,937
interop-2023-pseudos,865
interop-2023-url,967
interop-2023-webcodecs,627
interop-2023-webcompat,659
interop-2023-webcomponents,961
