category,score
interop-2023-events,842
interop-2023-property,986
interop-2023-url,869
interop-2024-accessibility,999
interop-2024-dir,898
interop-2024-dsd,1000
interop-2024-font-size-adjust,834
interop-2024-indexeddb,967
interop-2024-layout,748
interop-2024-nesting,971
interop-2024-popover,902
interop-2024-relative-color,149
interop-2024-scrollbar,468
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,590
interop-2024-video-rvfc,1000
interop-2024-websockets,928
