category,score
interop-2026-anchor-positioning,751
interop-2026-attr,1000
interop-2026-container-style-queries,947
interop-2026-contrast-color,1000
interop-2026-custom-highlights,653
interop-2026-dialogs-and-popovers,857
interop-2026-fetch,686
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,981
interop-2026-scoped-custom-element-registries,1000
interop-2026-scroll-driven-animations,905
interop-2026-scroll-snap,775
interop-2026-shape,583
interop-2026-view-transitions,471
interop-2026-webcompat,666
interop-2026-webrtc,543
interop-2026-webtransport,244
interop-2026-zoom,964
