category,score
interop-2023-events,880
interop-2024-layout,753
interop-2025-anchor-positioning,761
interop-2025-backdrop-filter,360
interop-2025-core-web-vitals,958
interop-2025-details,868
interop-2025-modules,784
interop-2025-navigation,942
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,674
interop-2025-textdecoration,911
interop-2025-urlpattern,740
interop-2025-view-transitions,205
interop-2025-webassembly,400
interop-2025-webcompat,691
interop-2025-webrtc,661
interop-2025-writingmodes,449
