category,score
interop-2023-events,982
interop-2023-property,937
interop-2023-url,868
interop-2024-accessibility,918
interop-2024-dir,1000
interop-2024-dsd,999
interop-2024-font-size-adjust,892
interop-2024-indexeddb,992
interop-2024-layout,998
interop-2024-nesting,767
interop-2024-popover,993
interop-2024-relative-color,195
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,910
interop-2024-text-wrap,649
interop-2024-video-rvfc,750
interop-2024-websockets,214
