category,score
interop-2023-events,833
interop-2024-layout,26
interop-2025-anchor-positioning,33
interop-2025-backdrop-filter,0
interop-2025-core-web-vitals,0
interop-2025-details,0
interop-2025-modules,0
interop-2025-navigation,13
interop-2025-remove-mutation-events,0
interop-2025-scope,0
interop-2025-scrollend,0
interop-2025-storageaccess,0
interop-2025-textdecoration,0
interop-2025-urlpattern,0
interop-2025-view-transitions,0
interop-2025-webassembly,0
interop-2025-webcompat,0
interop-2025-webrtc,0
interop-2025-writingmodes,5
