category,score
interop-2023-events,877
interop-2023-property,937
interop-2023-url,868
interop-2024-accessibility,929
interop-2024-dir,960
interop-2024-dsd,1000
interop-2024-font-size-adjust,732
interop-2024-indexeddb,979
interop-2024-layout,739
interop-2024-nesting,845
interop-2024-popover,899
interop-2024-relative-color,196
interop-2024-scrollbar,363
interop-2024-starting-style-transition-behavior,920
interop-2024-text-wrap,649
interop-2024-video-rvfc,750
interop-2024-websockets,214
