category,score
interop-2026-anchor-positioning,674
interop-2026-attr,945
interop-2026-container-style-queries,894
interop-2026-contrast-color,0
interop-2026-custom-highlights,625
interop-2026-dialogs-and-popovers,942
interop-2026-fetch,566
interop-2026-indexeddb,750
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,988
interop-2026-scoped-custom-element-registries,16
interop-2026-scroll-driven-animations,843
interop-2026-scroll-snap,756
interop-2026-shape,839
interop-2026-view-transitions,442
interop-2026-webcompat,844
interop-2026-webrtc,502
interop-2026-webtransport,174
interop-2026-zoom,964
