category,score
interop-2023-events,1000
interop-2024-layout,972
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,898
interop-2025-core-web-vitals,981
interop-2025-details,815
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,843
interop-2025-scrollend,1000
interop-2025-storageaccess,954
interop-2025-textdecoration,1000
interop-2025-urlpattern,971
interop-2025-view-transitions,732
interop-2025-webassembly,1000
interop-2025-webcompat,999
interop-2025-webrtc,837
interop-2025-writingmodes,1000
