category,score
interop-2021-transforms,964
interop-2022-scrolling,937
interop-2022-subgrid,894
interop-2023-color,988
interop-2023-contain,818
interop-2023-container,945
interop-2023-cssborderimage,1000
interop-2023-cssmasking,899
interop-2023-events,675
interop-2023-flexbox,935
interop-2023-fonts,999
interop-2023-forms,842
interop-2023-grid,907
interop-2023-has,960
interop-2023-inert,1000
interop-2023-mathfunctions,998
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,924
interop-2023-offscreencanvas,970
interop-2023-property,999
interop-2023-pseudos,988
interop-2023-url,997
interop-2023-webcodecs,926
interop-2023-webcompat,1000
interop-2023-webcomponents,1000
