category,score
interop-2021-transforms,976
interop-2022-scrolling,927
interop-2022-subgrid,941
interop-2023-color,993
interop-2023-contain,975
interop-2023-container,945
interop-2023-cssborderimage,1000
interop-2023-cssmasking,895
interop-2023-events,750
interop-2023-flexbox,941
interop-2023-fonts,1000
interop-2023-forms,859
interop-2023-grid,910
interop-2023-has,986
interop-2023-inert,921
interop-2023-mathfunctions,998
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,960
interop-2023-offscreencanvas,972
interop-2023-property,968
interop-2023-pseudos,1000
interop-2023-url,997
interop-2023-webcodecs,954
interop-2023-webcompat,1000
interop-2023-webcomponents,1000
