category,score
interop-2023-events,791
interop-2023-property,996
interop-2023-url,997
interop-2024-accessibility,992
interop-2024-dir,983
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,1000
interop-2024-layout,943
interop-2024-nesting,993
interop-2024-popover,971
interop-2024-relative-color,999
interop-2024-scrollbar,918
interop-2024-starting-style-transition-behavior,1000
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,1000
