category,score
interop-2023-events,498
interop-2023-property,981
interop-2023-url,997
interop-2024-accessibility,947
interop-2024-dir,944
interop-2024-dsd,1000
interop-2024-font-size-adjust,1000
interop-2024-indexeddb,960
interop-2024-layout,938
interop-2024-nesting,762
interop-2024-popover,992
interop-2024-relative-color,995
interop-2024-scrollbar,482
interop-2024-starting-style-transition-behavior,986
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,1000
