category,score
interop-2021-transforms,986
interop-2022-scrolling,976
interop-2022-subgrid,798
interop-2023-color,941
interop-2023-contain,823
interop-2023-container,933
interop-2023-cssborderimage,973
interop-2023-cssmasking,981
interop-2023-events,801
interop-2023-flexbox,983
interop-2023-fonts,1000
interop-2023-forms,1000
interop-2023-grid,890
interop-2023-has,232
interop-2023-inert,1000
interop-2023-mathfunctions,998
interop-2023-mediaqueries,1000
interop-2023-modules,1000
interop-2023-motion,517
interop-2023-offscreencanvas,997
interop-2023-property,76
interop-2023-pseudos,936
interop-2023-url,882
interop-2023-webcodecs,11
interop-2023-webcompat,995
interop-2023-webcomponents,986
