category,score
interop-2023-events,842
interop-2023-property,986
interop-2023-url,956
interop-2024-accessibility,999
interop-2024-dir,900
interop-2024-dsd,1000
interop-2024-font-size-adjust,754
interop-2024-indexeddb,963
interop-2024-layout,752
interop-2024-nesting,944
interop-2024-popover,902
interop-2024-relative-color,149
interop-2024-scrollbar,489
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,941
interop-2024-video-rvfc,1000
interop-2024-websockets,928
