category,score
interop-2021-transforms,979
interop-2022-scrolling,947
interop-2022-subgrid,881
interop-2023-color,983
interop-2023-contain,731
interop-2023-container,837
interop-2023-cssborderimage,973
interop-2023-cssmasking,880
interop-2023-events,465
interop-2023-flexbox,936
interop-2023-fonts,935
interop-2023-forms,851
interop-2023-grid,905
interop-2023-has,915
interop-2023-inert,921
interop-2023-mathfunctions,866
interop-2023-mediaqueries,999
interop-2023-modules,945
interop-2023-motion,658
interop-2023-offscreencanvas,867
interop-2023-property,937
interop-2023-pseudos,882
interop-2023-url,967
interop-2023-webcodecs,633
interop-2023-webcompat,685
interop-2023-webcomponents,916
