category,score
interop-2023-events,904
interop-2024-layout,997
interop-2025-anchor-positioning,970
interop-2025-backdrop-filter,959
interop-2025-core-web-vitals,751
interop-2025-details,993
interop-2025-modules,946
interop-2025-navigation,981
interop-2025-remove-mutation-events,1000
interop-2025-scope,1000
interop-2025-scrollend,1000
interop-2025-storageaccess,696
interop-2025-textdecoration,911
interop-2025-urlpattern,977
interop-2025-view-transitions,963
interop-2025-webassembly,400
interop-2025-webcompat,926
interop-2025-webrtc,118
interop-2025-writingmodes,1000
