category,score
interop-2021-transforms,994
interop-2022-scrolling,937
interop-2022-subgrid,812
interop-2023-color,953
interop-2023-contain,973
interop-2023-container,898
interop-2023-cssborderimage,973
interop-2023-cssmasking,977
interop-2023-events,881
interop-2023-flexbox,982
interop-2023-fonts,1000
interop-2023-forms,999
interop-2023-grid,890
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,996
interop-2023-mediaqueries,1000
interop-2023-modules,997
interop-2023-motion,1000
interop-2023-offscreencanvas,943
interop-2023-property,280
interop-2023-pseudos,947
interop-2023-url,856
interop-2023-webcodecs,539
interop-2023-webcompat,795
interop-2023-webcomponents,985
