category,score
interop-2023-events,928
interop-2024-layout,999
interop-2025-anchor-positioning,991
interop-2025-backdrop-filter,959
interop-2025-core-web-vitals,966
interop-2025-details,1000
interop-2025-modules,944
interop-2025-navigation,990
interop-2025-remove-mutation-events,1000
interop-2025-scope,1000
interop-2025-scrollend,1000
interop-2025-storageaccess,696
interop-2025-textdecoration,911
interop-2025-urlpattern,977
interop-2025-view-transitions,977
interop-2025-webassembly,500
interop-2025-webcompat,987
interop-2025-webrtc,705
interop-2025-writingmodes,1000
