category,score
interop-2021-transforms,979
interop-2022-scrolling,939
interop-2022-subgrid,600
interop-2023-color,973
interop-2023-contain,988
interop-2023-container,980
interop-2023-cssborderimage,1000
interop-2023-cssmasking,698
interop-2023-events,699
interop-2023-flexbox,994
interop-2023-fonts,980
interop-2023-forms,914
interop-2023-grid,994
interop-2023-has,974
interop-2023-inert,1000
interop-2023-mathfunctions,847
interop-2023-mediaqueries,1000
interop-2023-modules,972
interop-2023-motion,715
interop-2023-offscreencanvas,935
interop-2023-property,973
interop-2023-pseudos,946
interop-2023-url,834
interop-2023-webcodecs,986
interop-2023-webcompat,776
interop-2023-webcomponents,937
