category,score
interop-2023-events,925
interop-2024-layout,953
interop-2025-anchor-positioning,230
interop-2025-backdrop-filter,760
interop-2025-core-web-vitals,728
interop-2025-details,488
interop-2025-modules,978
interop-2025-navigation,7
interop-2025-remove-mutation-events,0
interop-2025-scope,840
interop-2025-scrollend,916
interop-2025-storageaccess,905
interop-2025-textdecoration,991
interop-2025-urlpattern,1
interop-2025-view-transitions,238
interop-2025-webassembly,0
interop-2025-webcompat,540
interop-2025-webrtc,750
interop-2025-writingmodes,937
