category,score
interop-2021-transforms,956
interop-2022-scrolling,928
interop-2022-subgrid,662
interop-2023-color,505
interop-2023-contain,827
interop-2023-container,882
interop-2023-cssborderimage,907
interop-2023-cssmasking,916
interop-2023-events,863
interop-2023-flexbox,965
interop-2023-fonts,1000
interop-2023-forms,961
interop-2023-grid,881
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,912
interop-2023-mediaqueries,979
interop-2023-modules,805
interop-2023-motion,769
interop-2023-offscreencanvas,915
interop-2023-property,49
interop-2023-pseudos,695
interop-2023-url,843
interop-2023-webcodecs,14
interop-2023-webcompat,655
interop-2023-webcomponents,959
