category,score
interop-2023-events,873
interop-2024-layout,745
interop-2025-anchor-positioning,767
interop-2025-backdrop-filter,360
interop-2025-core-web-vitals,938
interop-2025-details,921
interop-2025-modules,784
interop-2025-navigation,942
interop-2025-remove-mutation-events,1000
interop-2025-scope,937
interop-2025-scrollend,1000
interop-2025-storageaccess,628
interop-2025-textdecoration,911
interop-2025-urlpattern,750
interop-2025-view-transitions,209
interop-2025-webassembly,400
interop-2025-webcompat,709
interop-2025-webrtc,661
interop-2025-writingmodes,406
