category,score
interop-2021-transforms,975
interop-2022-scrolling,935
interop-2022-subgrid,812
interop-2023-color,942
interop-2023-contain,971
interop-2023-container,898
interop-2023-cssborderimage,973
interop-2023-cssmasking,981
interop-2023-events,880
interop-2023-flexbox,978
interop-2023-fonts,1000
interop-2023-forms,995
interop-2023-grid,884
interop-2023-has,239
interop-2023-inert,1000
interop-2023-mathfunctions,993
interop-2023-mediaqueries,990
interop-2023-modules,958
interop-2023-motion,978
interop-2023-offscreencanvas,938
interop-2023-property,268
interop-2023-pseudos,956
interop-2023-url,824
interop-2023-webcodecs,518
interop-2023-webcompat,738
interop-2023-webcomponents,985
