category,score
interop-2023-events,953
interop-2024-layout,957
interop-2025-anchor-positioning,241
interop-2025-backdrop-filter,837
interop-2025-core-web-vitals,723
interop-2025-details,947
interop-2025-modules,1000
interop-2025-navigation,12
interop-2025-remove-mutation-events,1000
interop-2025-scope,843
interop-2025-scrollend,928
interop-2025-storageaccess,988
interop-2025-textdecoration,1000
interop-2025-urlpattern,1
interop-2025-view-transitions,461
interop-2025-webassembly,500
interop-2025-webcompat,889
interop-2025-webrtc,703
interop-2025-writingmodes,994
