category,score
interop-2023-events,856
interop-2024-layout,960
interop-2025-anchor-positioning,929
interop-2025-backdrop-filter,985
interop-2025-core-web-vitals,37
interop-2025-details,956
interop-2025-modules,1000
interop-2025-navigation,947
interop-2025-remove-mutation-events,1000
interop-2025-scope,992
interop-2025-scrollend,955
interop-2025-storageaccess,541
interop-2025-textdecoration,991
interop-2025-urlpattern,1000
interop-2025-view-transitions,958
interop-2025-webassembly,1000
interop-2025-webcompat,804
interop-2025-webrtc,948
interop-2025-writingmodes,896
