category,score
interop-2023-events,928
interop-2024-layout,998
interop-2025-anchor-positioning,978
interop-2025-backdrop-filter,959
interop-2025-core-web-vitals,755
interop-2025-details,1000
interop-2025-modules,943
interop-2025-navigation,981
interop-2025-remove-mutation-events,1000
interop-2025-scope,1000
interop-2025-scrollend,1000
interop-2025-storageaccess,696
interop-2025-textdecoration,911
interop-2025-urlpattern,977
interop-2025-view-transitions,984
interop-2025-webassembly,500
interop-2025-webcompat,963
interop-2025-webrtc,132
interop-2025-writingmodes,1000
