category,score
interop-2023-events,966
interop-2023-property,1000
interop-2023-url,957
interop-2024-accessibility,999
interop-2024-dir,880
interop-2024-dsd,1000
interop-2024-font-size-adjust,800
interop-2024-indexeddb,939
interop-2024-layout,750
interop-2024-nesting,974
interop-2024-popover,902
interop-2024-relative-color,870
interop-2024-scrollbar,448
interop-2024-starting-style-transition-behavior,972
interop-2024-text-wrap,1000
interop-2024-video-rvfc,1000
interop-2024-websockets,928
