category,score
interop-2021-transforms,968
interop-2022-scrolling,937
interop-2022-subgrid,733
interop-2023-color,946
interop-2023-contain,726
interop-2023-container,831
interop-2023-cssborderimage,865
interop-2023-cssmasking,861
interop-2023-events,469
interop-2023-flexbox,937
interop-2023-fonts,888
interop-2023-forms,852
interop-2023-grid,905
interop-2023-has,801
interop-2023-inert,855
interop-2023-mathfunctions,886
interop-2023-mediaqueries,642
interop-2023-modules,483
interop-2023-motion,708
interop-2023-offscreencanvas,0
interop-2023-property,49
interop-2023-pseudos,475
interop-2023-url,980
interop-2023-webcodecs,14
interop-2023-webcompat,620
interop-2023-webcomponents,692
