category,score
interop-2026-anchor-positioning,978
interop-2026-attr,1000
interop-2026-container-style-queries,947
interop-2026-contrast-color,1000
interop-2026-custom-highlights,1000
interop-2026-dialogs-and-popovers,1000
interop-2026-fetch,849
interop-2026-indexeddb,958
interop-2026-jspi-for-wasm,666
interop-2026-media-pseudo-classes,0
interop-2026-navigation,986
interop-2026-scoped-custom-element-registries,995
interop-2026-scroll-driven-animations,944
interop-2026-scroll-snap,923
interop-2026-shape,1000
interop-2026-view-transitions,997
interop-2026-webcompat,1000
interop-2026-webrtc,805
interop-2026-webtransport,633
interop-2026-zoom,1000
