category,score
interop-2023-events,868
interop-2023-property,937
interop-2023-url,868
interop-2024-accessibility,925
interop-2024-dir,970
interop-2024-dsd,1000
interop-2024-font-size-adjust,732
interop-2024-indexeddb,969
interop-2024-layout,740
interop-2024-nesting,914
interop-2024-popover,898
interop-2024-relative-color,197
interop-2024-scrollbar,468
interop-2024-starting-style-transition-behavior,895
interop-2024-text-wrap,590
interop-2024-video-rvfc,750
interop-2024-websockets,928
