category,score
interop-2023-events,802
interop-2024-layout,960
interop-2025-anchor-positioning,899
interop-2025-backdrop-filter,985
interop-2025-core-web-vitals,37
interop-2025-details,913
interop-2025-modules,1000
interop-2025-navigation,939
interop-2025-remove-mutation-events,1000
interop-2025-scope,956
interop-2025-scrollend,946
interop-2025-storageaccess,518
interop-2025-textdecoration,991
interop-2025-urlpattern,1000
interop-2025-view-transitions,979
interop-2025-webassembly,0
interop-2025-webcompat,719
interop-2025-webrtc,943
interop-2025-writingmodes,888
