category,score
interop-2026-anchor-positioning,733
interop-2026-attr,998
interop-2026-container-style-queries,894
interop-2026-contrast-color,1000
interop-2026-custom-highlights,626
interop-2026-dialogs-and-popovers,884
interop-2026-fetch,686
interop-2026-indexeddb,958
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,993
interop-2026-scoped-custom-element-registries,966
interop-2026-scroll-driven-animations,898
interop-2026-scroll-snap,820
interop-2026-shape,892
interop-2026-view-transitions,469
interop-2026-webcompat,888
interop-2026-webrtc,506
interop-2026-webtransport,223
interop-2026-zoom,964
