category,score
interop-2023-events,1000
interop-2024-layout,973
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,1000
interop-2025-core-web-vitals,973
interop-2025-details,815
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,900
interop-2025-scrollend,1000
interop-2025-storageaccess,951
interop-2025-textdecoration,996
interop-2025-urlpattern,971
interop-2025-view-transitions,762
interop-2025-webassembly,1000
interop-2025-webcompat,999
interop-2025-webrtc,837
interop-2025-writingmodes,1000
