category,score
interop-2026-anchor-positioning,755
interop-2026-attr,1000
interop-2026-container-style-queries,1000
interop-2026-contrast-color,988
interop-2026-custom-highlights,653
interop-2026-dialogs-and-popovers,742
interop-2026-fetch,686
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,988
interop-2026-scoped-custom-element-registries,1000
interop-2026-scroll-driven-animations,918
interop-2026-scroll-snap,800
interop-2026-shape,583
interop-2026-view-transitions,467
interop-2026-webcompat,722
interop-2026-webrtc,543
interop-2026-webtransport,240
interop-2026-zoom,964
