category,score
interop-2021-transforms,990
interop-2022-scrolling,952
interop-2022-subgrid,986
interop-2023-color,1000
interop-2023-contain,996
interop-2023-container,1000
interop-2023-cssborderimage,1000
interop-2023-cssmasking,713
interop-2023-events,750
interop-2023-flexbox,997
interop-2023-fonts,1000
interop-2023-forms,986
interop-2023-grid,993
interop-2023-has,1000
interop-2023-inert,1000
interop-2023-mathfunctions,948
interop-2023-mediaqueries,1000
interop-2023-modules,993
interop-2023-motion,985
interop-2023-offscreencanvas,941
interop-2023-property,1000
interop-2023-pseudos,946
interop-2023-url,860
interop-2023-webcodecs,970
interop-2023-webcompat,973
interop-2023-webcomponents,981
