category,score
interop-2026-anchor-positioning,752
interop-2026-attr,993
interop-2026-container-style-queries,894
interop-2026-contrast-color,1000
interop-2026-custom-highlights,628
interop-2026-dialogs-and-popovers,998
interop-2026-fetch,606
interop-2026-indexeddb,750
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,0
interop-2026-navigation,984
interop-2026-scoped-custom-element-registries,1000
interop-2026-scroll-driven-animations,887
interop-2026-scroll-snap,820
interop-2026-shape,839
interop-2026-view-transitions,464
interop-2026-webcompat,888
interop-2026-webrtc,513
interop-2026-webtransport,174
interop-2026-zoom,964
