category,score
interop-2023-events,904
interop-2024-layout,962
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,840
interop-2025-core-web-vitals,598
interop-2025-details,736
interop-2025-modules,986
interop-2025-navigation,4
interop-2025-remove-mutation-events,400
interop-2025-scope,146
interop-2025-scrollend,928
interop-2025-storageaccess,812
interop-2025-textdecoration,1000
interop-2025-urlpattern,1
interop-2025-view-transitions,45
interop-2025-webassembly,500
interop-2025-webcompat,861
interop-2025-webrtc,806
interop-2025-writingmodes,1000
