category,score
interop-2023-events,1000
interop-2023-property,937
interop-2023-url,868
interop-2024-accessibility,925
interop-2024-dir,1000
interop-2024-dsd,1000
interop-2024-font-size-adjust,892
interop-2024-indexeddb,994
interop-2024-layout,998
interop-2024-nesting,988
interop-2024-popover,992
interop-2024-relative-color,197
interop-2024-scrollbar,1000
interop-2024-starting-style-transition-behavior,920
interop-2024-text-wrap,649
interop-2024-video-rvfc,750
interop-2024-websockets,928
