category,score
interop-2021-transforms,996
interop-2022-scrolling,967
interop-2022-subgrid,807
interop-2023-color,957
interop-2023-contain,979
interop-2023-container,925
interop-2023-cssborderimage,973
interop-2023-cssmasking,984
interop-2023-events,919
interop-2023-flexbox,982
interop-2023-fonts,1000
interop-2023-forms,1000
interop-2023-grid,890
interop-2023-has,987
interop-2023-inert,1000
interop-2023-mathfunctions,995
interop-2023-mediaqueries,1000
interop-2023-modules,1000
interop-2023-motion,1000
interop-2023-offscreencanvas,997
interop-2023-property,558
interop-2023-pseudos,988
interop-2023-url,881
interop-2023-webcodecs,537
interop-2023-webcompat,1000
interop-2023-webcomponents,986
