category,score
interop-2026-anchor-positioning,1000
interop-2026-attr,1000
interop-2026-container-style-queries,1000
interop-2026-contrast-color,1000
interop-2026-custom-highlights,980
interop-2026-dialogs-and-popovers,986
interop-2026-fetch,846
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,997
interop-2026-scoped-custom-element-registries,1000
interop-2026-scroll-driven-animations,980
interop-2026-scroll-snap,1000
interop-2026-shape,958
interop-2026-view-transitions,994
interop-2026-webcompat,888
interop-2026-webrtc,868
interop-2026-webtransport,807
interop-2026-zoom,1000
