category,score
interop-2023-events,772
interop-2024-layout,944
interop-2025-anchor-positioning,146
interop-2025-backdrop-filter,855
interop-2025-core-web-vitals,46
interop-2025-details,724
interop-2025-modules,850
interop-2025-navigation,4
interop-2025-remove-mutation-events,300
interop-2025-scope,791
interop-2025-scrollend,26
interop-2025-storageaccess,330
interop-2025-textdecoration,738
interop-2025-urlpattern,1
interop-2025-view-transitions,905
interop-2025-webassembly,0
interop-2025-webcompat,637
interop-2025-webrtc,741
interop-2025-writingmodes,719
