category,score
interop-2021-transforms,996
interop-2022-scrolling,967
interop-2022-subgrid,812
interop-2023-color,955
interop-2023-contain,970
interop-2023-container,906
interop-2023-cssborderimage,973
interop-2023-cssmasking,978
interop-2023-events,881
interop-2023-flexbox,982
interop-2023-fonts,1000
interop-2023-forms,1000
interop-2023-grid,890
interop-2023-has,935
interop-2023-inert,1000
interop-2023-mathfunctions,996
interop-2023-mediaqueries,1000
interop-2023-modules,1000
interop-2023-motion,1000
interop-2023-offscreencanvas,995
interop-2023-property,453
interop-2023-pseudos,990
interop-2023-url,875
interop-2023-webcodecs,542
interop-2023-webcompat,795
interop-2023-webcomponents,986
