category,score
interop-2026-anchor-positioning,995
interop-2026-attr,994
interop-2026-container-style-queries,1000
interop-2026-contrast-color,1000
interop-2026-custom-highlights,1000
interop-2026-dialogs-and-popovers,986
interop-2026-fetch,713
interop-2026-indexeddb,1000
interop-2026-jspi-for-wasm,1000
interop-2026-media-pseudo-classes,1000
interop-2026-navigation,944
interop-2026-scoped-custom-element-registries,19
interop-2026-scroll-driven-animations,666
interop-2026-scroll-snap,937
interop-2026-shape,916
interop-2026-view-transitions,801
interop-2026-webcompat,1000
interop-2026-webrtc,784
interop-2026-webtransport,686
interop-2026-zoom,1000
