category,score
interop-2023-events,1000
interop-2024-layout,987
interop-2025-anchor-positioning,147
interop-2025-backdrop-filter,1000
interop-2025-core-web-vitals,973
interop-2025-details,1000
interop-2025-modules,1000
interop-2025-navigation,4
interop-2025-remove-mutation-events,1000
interop-2025-scope,117
interop-2025-scrollend,1000
interop-2025-storageaccess,996
interop-2025-textdecoration,1000
interop-2025-urlpattern,966
interop-2025-view-transitions,877
interop-2025-webassembly,500
interop-2025-webcompat,995
interop-2025-webrtc,919
interop-2025-writingmodes,1000
